Date,Open,High,Low,Close,Volume
2016-02-12,510.7,516.75,501.49,507.08,5384787.0
2016-02-11,491.17,509.3,484.0,503.82,7372686.0
2016-02-10,491.76,504.66,486.0,490.48,6746103.0
2016-02-09,478.01,498.38,474.0,482.07,7045885.0
2016-02-08,486.47,493.5,475.21,488.1,9808766.0
2016-02-05,529.28,529.45,499.19,502.13,9639606.0
2016-02-04,525.0,538.99,519.22,536.26,6176558.0
2016-02-03,553.5,556.0,521.9,531.07,10037222.0
2016-02-02,570.0,571.56,550.09,552.1,6281425.0
2016-02-01,578.15,581.8,570.31,574.81,6313793.0
2016-01-29,571.98,593.0,570.0,587.0,14622317.0
2016-01-28,608.37,638.06,597.55,635.35,12615917.0
2016-01-27,601.99,603.39,578.78,583.35,5029472.0
2016-01-26,603.45,604.5,590.38,601.25,3743213.0
2016-01-25,597.99,608.5,594.56,596.53,4376653.0
2016-01-22,588.73,600.1,584.11,596.38,5101123.0
2016-01-21,573.58,588.81,568.22,575.02,4932633.0
2016-01-20,564.36,578.45,547.18,571.77,7944703.0
2016-01-19,577.09,584.0,566.45,574.48,4782763.0
2016-01-15,572.24,584.62,565.3,570.18,7754464.0
2016-01-14,580.25,602.25,569.88,593.0,7203038.0
2016-01-13,620.88,620.88,579.16,581.81,7599968.0
2016-01-12,625.25,625.99,612.24,617.89,4724100.0
2016-01-11,612.48,619.85,598.57,617.74,4891551.0
2016-01-08,619.66,624.14,606.0,607.05,5512915.0
2016-01-07,621.8,630.0,605.21,607.94,7074915.0
2016-01-06,622.0,639.79,620.31,632.65,5329197.0
2016-01-05,646.86,646.91,627.65,633.79,5822603.0
2016-01-04,656.29,657.72,627.51,636.99,9280761.0
2015-12-31,686.08,687.75,675.89,675.89,3749560.0
2015-12-30,691.89,695.49,686.38,689.07,3519003.0
2015-12-29,677.98,696.44,677.89,693.97,5734996.0
2015-12-28,665.56,675.5,665.5,675.2,3783555.0
2015-12-24,663.35,664.68,660.6,662.79,1092970.0
2015-12-23,666.5,666.6,656.63,663.7,2722922.0
2015-12-22,666.83,668.49,659.26,663.15,2667795.0
2015-12-21,668.5,669.9,658.93,664.51,3250900.0
2015-12-18,668.65,676.84,664.13,664.14,6841304.0
2015-12-17,680.0,682.5,670.65,670.65,3681645.0
2015-12-16,663.56,677.35,659.32,675.77,3964470.0
2015-12-15,665.03,671.5,657.35,658.64,4753415.0
2015-12-14,641.75,658.58,635.27,657.91,4329653.0
2015-12-11,651.23,657.88,639.62,640.15,5474420.0
2015-12-10,665.59,668.53,659.56,662.32,3455472.0
2015-12-09,678.0,679.0,655.68,664.79,5158172.0
2015-12-08,663.13,679.99,659.79,677.33,3651908.0
2015-12-07,674.74,675.46,660.5,669.83,3732814.0
2015-12-04,666.0,674.78,661.4,672.64,4534796.0
2015-12-03,679.44,682.79,661.48,666.25,5064736.0
2015-12-02,681.0,684.82,674.25,676.01,4273526.0
2015-12-01,673.75,681.0,667.86,679.06,4751152.0
2015-11-30,675.9,681.29,664.6,664.8,5693172.0
2015-11-27,680.8,680.99,672.1,673.26,1966801.0
2015-11-25,675.0,679.7,671.24,675.34,2697889.0
2015-11-24,674.14,675.8,661.21,671.15,4543417.0
2015-11-23,671.5,682.77,668.45,678.99,4385057.0
2015-11-20,663.95,668.87,657.57,668.45,3896135.0
2015-11-19,664.99,672.86,659.0,661.27,4705237.0
2015-11-18,646.51,664.88,646.37,663.54,4469769.0
2015-11-17,650.65,653.25,641.0,643.3,4320177.0
2015-11-16,640.92,649.99,622.29,647.81,7435934.0
2015-11-13,663.57,667.0,640.45,642.35,6261076.0
2015-11-12,673.0,675.64,664.22,665.6,4284678.0
2015-11-11,663.25,675.96,663.25,673.25,5387309.0
2015-11-10,653.0,660.0,647.26,659.68,3489483.0
2015-11-09,658.65,661.96,647.85,655.49,4048823.0
2015-11-06,655.0,662.26,652.0,659.37,4092165.0
2015-11-05,647.1,657.0,643.09,655.65,4723825.0
2015-11-04,627.76,645.93,627.35,640.95,4840501.0
2015-11-03,629.53,629.89,622.0,625.31,3246910.0
2015-11-02,627.13,628.63,620.41,628.35,2816479.0
2015-10-30,626.01,630.72,625.28,625.9,3874363.0
2015-10-29,617.7,627.54,615.39,626.55,3896026.0
2015-10-28,612.3,617.23,609.5,617.1,3926200.0
2015-10-27,608.6,614.71,605.53,611.01,3787136.0
2015-10-26,602.3,609.85,596.29,608.61,4269715.0
2015-10-23,617.68,619.45,595.36,599.03,10692667.0
2015-10-22,562.7,569.15,556.67,563.91,7779372.0
2015-10-21,563.87,565.25,552.52,555.77,3361655.0
2015-10-20,572.0,573.0,555.28,560.88,4346209.0
2015-10-19,570.76,579.0,567.38,573.15,4375420.0
2015-10-16,565.27,570.94,560.31,570.76,4315792.0
2015-10-15,547.75,563.0,547.0,562.44,4937034.0
2015-10-14,551.34,552.25,539.68,544.83,3582060.0
2015-10-13,546.26,553.2,543.1,548.9,2938044.0
2015-10-12,539.96,550.82,539.8,550.19,2776103.0
2015-10-09,534.48,541.79,530.27,539.8,3537364.0
2015-10-08,536.71,539.39,519.89,533.16,4676440.0
2015-10-07,541.79,542.0,529.0,541.94,3812087.0
2015-10-06,545.5,551.5,533.33,537.48,4502815.0
2015-10-05,536.99,545.91,536.0,543.68,3391359.0
2015-10-02,512.99,532.6,508.1,532.54,4597795.0
2015-10-01,511.0,520.8,506.0,520.72,3768483.0
2015-09-30,505.44,512.8,501.67,511.89,4004681.0
2015-09-29,506.0,511.48,490.5,496.07,4457532.0
2015-09-28,520.02,520.28,494.33,504.06,5434532.0
2015-09-25,542.57,542.8,521.4,524.25,4030998.0
2015-09-24,530.55,534.56,522.87,533.75,3500964.0
2015-09-23,538.3,541.21,534.0,536.07,2237571.0
2015-09-22,539.71,543.55,532.66,538.4,3841748.0
2015-09-21,544.33,549.78,539.59,548.39,3265264.0
2015-09-18,534.62,546.24,531.35,540.26,6160075.0
2015-09-17,526.98,546.97,526.57,538.87,4124870.0
2015-09-16,521.98,528.3,518.52,527.39,2248046.0
2015-09-15,523.25,527.92,517.2,522.37,2865933.0
2015-09-14,529.44,532.45,518.58,521.38,3130241.0
2015-09-11,521.07,529.44,520.6,529.44,3227862.0
2015-09-10,515.15,526.13,514.78,522.24,2562832.0
2015-09-09,524.0,529.95,515.06,516.89,4370657.0
2015-09-08,508.69,518.35,508.51,517.54,3810653.0
2015-09-04,497.65,502.85,495.64,499.0,2692510.0
